Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:32:31;495,,,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:35:18;185,,,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,,,
Data,11/21/2023,16:32:31;985,198.024597,2130,162.222549,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:31;995,198.116898,2140,162.293915,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;005,198.216888,2150,162.366348,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;015,198.314178,2160,162.492493,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;025,198.408768,2171,162.641571,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;035,198.509705,2181,162.783829,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;045,198.598633,2190,162.928131,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;055,198.676331,2200,163.065826,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;065,198.760101,2210,163.205536,84.904724,0.137695,0.137695,,,,,,,,,,
Data,11/21/2023,16:32:32;075,198.841156,2221,163.338837,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;085,198.927185,2230,163.474091,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;095,198.995117,2240,163.538223,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;105,199.068024,2250,163.578049,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;115,199.138184,2260,163.617264,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;125,199.205627,2271,163.659409,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;135,199.276642,2281,163.694946,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;145,199.338348,2290,163.733444,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;155,199.391541,2300,163.770203,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;165,199.448029,2310,163.806351,84.90625,0.137035,0.137035,,,,,,,,,,
Data,11/21/2023,16:32:32;175,199.501785,2321,163.871246,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;185,199.557739,2331,163.942596,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;195,199.605728,2340,164.01503,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;205,199.646576,2350,164.084122,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;215,199.689331,2360,164.154205,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;225,199.729355,2372,164.229385,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;235,199.773743,2380,164.28894,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;245,199.801117,2390,164.353683,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;255,199.832886,2400,164.483627,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;265,199.861877,2410,164.629105,84.915314,0.136317,0.136317,,,,,,,,,,
Data,11/21/2023,16:32:32;275,199.888107,2421,164.785568,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;285,199.913788,2431,164.917496,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;295,199.934235,2440,165.060364,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;305,199.950256,2450,165.196671,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;315,199.965454,2460,165.330826,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;325,199.977905,2473,165.48735,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;335,199.989929,2480,165.548035,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;345,199.994476,2490,165.607819,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;355,199.998627,2500,165.668457,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;365,200,2511,165.726318,84.903259,0.135183,0.135183,,,,,,,,,,
Data,11/21/2023,16:32:32;375,199.998322,2521,165.788559,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;385,199.993912,2530,165.841019,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;395,199.987564,2540,165.897842,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;405,199.977905,2550,165.952072,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;415,199.965454,2560,166.012665,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;425,199.950256,2572,166.077866,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;435,199.928375,2580,166.134674,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;445,199.911591,2590,166.194183,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;455,199.888107,2600,166.250977,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;465,199.861877,2610,166.308609,84.901611,0.135067,0.135067,,,,,,,,,,
Data,11/21/2023,16:32:32;475,199.832886,2621,166.365265,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;485,199.797791,2630,166.417633,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;495,199.766602,2640,166.495193,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;505,199.729355,2650,166.576736,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;515,199.689331,2660,166.659485,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;525,199.646576,2672,166.743332,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;535,199.591614,2680,166.818542,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;545,199.552795,2690,166.894974,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;555,199.501785,2700,166.972519,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;565,199.448029,2710,167.046494,84.9104,0.13621,0.13621,,,,,,,,,,
Data,11/21/2023,16:32:32;575,199.391541,2721,167.162491,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;585,199.326233,2730,167.278198,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;595,199.270325,2740,167.395782,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;605,199.205627,2750,167.515091,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;615,199.138184,2761,167.628922,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;625,199.060852,2772,167.744415,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;635,198.980209,2780,167.854568,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;645,198.919495,2790,167.966354,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;655,198.841156,2800,168.003098,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;665,198.760101,2810,168.014679,84.906036,0.136269,0.136269,,,,,,,,,,
Data,11/21/2023,16:32:32;675,198.676331,2821,168.025497,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;685,198.581055,2830,168.036575,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;695,198.500671,2840,168.047302,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;705,198.408768,2850,168.057877,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;715,198.314178,2860,168.06813,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;725,198.216888,2872,168.079254,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;735,198.096588,2880,168.076279,84.906525,0.136309,0.136309,,,,,,,,,,
Data,11/21/2023,16:32:32;745,198.014221,2890,168.069733,84.906525,0.136309,0.136309,,,,,,,,,,
