Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:21:22;659,,,,,,,,,,,,,,
Stop Time:,11/21/2023,16:23:47;139,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,,,
Data,11/21/2023,16:21:23;169,193.523911,13200,171.871964,85.018402,0.157126,0.157126,,,,,,,,
Data,11/21/2023,16:21:23;179,193.337875,13210,171.923538,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;189,193.149368,13221,171.974197,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;199,192.939133,13230,172.022568,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;209,192.764862,13241,172.070175,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;219,192.549164,13250,172.071655,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;229,192.370438,13260,171.976517,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;239,192.169556,13270,171.87999,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;249,191.966171,13280,171.787888,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;259,191.760376,13290,171.694443,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;269,191.552139,13300,171.605286,85.023193,0.158229,0.158229,,,,,,,,
Data,11/21/2023,16:21:23;279,191.341446,13310,171.514832,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;289,191.128357,13321,171.428528,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;299,190.891174,13330,171.362091,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;309,190.694931,13340,171.342087,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;319,190.47464,13350,171.321945,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;329,190.251923,13360,171.302658,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;339,190.026855,13372,171.283615,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;349,189.753647,13380,171.264435,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;359,189.569595,13390,171.246033,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;369,189.337463,13400,171.227402,85.014496,0.158166,0.158166,,,,,,,,
Data,11/21/2023,16:21:23;379,189.102966,13411,171.20932,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;389,188.8423,13420,171.190186,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;399,188.626968,13430,171.171555,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;409,188.385468,13440,171.153656,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;419,188.141708,13450,171.136078,85.019989,0.161967,0.161967,,,,,,,,
Data,11/21/2023,16:21:23;429,187.895615,13460,171.118271,85.019989,0.161967,0.161967,,,,,,,,
