Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:33:51;417,-124,-0.60,-0.55,21.82,22,12.0
11/21/2023,16:33:52;416,-125,-0.30,-0.43,21.50,23,10.0
11/21/2023,16:33:53;416,-127,-0.60,-0.51,20.86,23,10.0
11/21/2023,16:33:54;419,-129,-0.60,-0.56,21.12,24,8.0
11/21/2023,16:33:55;418,-130,-0.30,-0.43,22.02,26,4.0
11/21/2023,16:33:56;418,-131,-0.30,-0.36,22.46,19,18.0
11/21/2023,16:33:57;417,-133,-0.60,-0.48,22.91,21,14.0
11/21/2023,16:33:58;420,-135,-0.60,-0.54,23.36,22,12.0
11/21/2023,16:33:59;420,-137,-0.60,-0.57,22.85,26,4.0
11/21/2023,16:34:00;419,-138,-0.30,-0.44,22.08,22,12.0
11/21/2023,16:34:01;419,-140,-0.60,-0.52,21.89,21,14.0
11/21/2023,16:34:02;422,-141,-0.30,-0.41,20.86,21,14.0
11/21/2023,16:34:03;421,-143,-0.60,-0.50,21.06,20,16.0
11/21/2023,16:34:04;422,-145,-0.60,-0.55,21.89,27,2.0
11/21/2023,16:34:05;421,-147,-0.60,-0.58,22.14,23,10.0
11/21/2023,16:34:06;424,-148,-0.30,-0.44,23.04,26,4.0
11/21/2023,16:34:07;423,-149,-0.30,-0.37,24.00,21,14.0
11/21/2023,16:34:08;423,-150,-0.30,-0.33,23.30,22,12.0
11/21/2023,16:34:09;423,-152,-0.60,-0.47,22.66,28,0.0
11/21/2023,16:34:10;425,-153,-0.30,-0.38,22.08,21,14.0
11/21/2023,16:34:11;424,-155,-0.60,-0.49,21.57,22,12.0
11/21/2023,16:34:12;424,-157,-0.60,-0.55,21.38,26,4.0
11/21/2023,16:34:13;427,-158,-0.30,-0.42,22.08,21,14.0
11/21/2023,16:34:14;427,-160,-0.60,-0.51,22.08,23,10.0
11/21/2023,16:34:15;427,-161,-0.30,-0.41,23.30,26,4.0
