Controller Name:,New_Controller2095709328,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,11/21/2023,16:01:29;739,,,,,,,,,,,,
Stop Time:,11/21/2023,16:07:33;819,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,Setpoint,,,,,,
Data,11/21/2023,16:01:30;319,100,0,99.911102,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;329,100,0,100.214684,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;339,100,0,100.504326,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;349,100,0,100.798203,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;359,100,0,100.812225,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;369,100,0,100.727905,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;379,100,0,100.647461,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;389,100,0,100.565842,84.295471,0.236973,0.236973,,,,,,
Data,11/21/2023,16:01:30;399,100,0,100.487984,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;409,100,0,100.408981,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;419,100,0,100.333595,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;429,100,0,100.257118,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;439,100,0,100.185394,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;449,100,0,100.113106,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;459,100,0,100.044128,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;469,100,0,99.974136,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;479,100,0,99.907356,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;489,100,0,99.841637,84.294006,0.237062,0.237062,,,,,,
Data,11/21/2023,16:01:30;499,100,0,99.774948,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;509,100,0,99.711327,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;519,100,0,99.915276,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;529,100,0,100.214272,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;539,100,0,100.517654,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;549,100,0,100.807091,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;559,100,0,101.100754,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;569,100,0,101.380928,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;579,100,0,101.665199,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;589,100,0,101.936424,84.288025,0.241006,0.241006,,,,,,
Data,11/21/2023,16:01:30;599,100,0,101.860214,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;609,100,0,101.650856,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;619,100,0,101.438423,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;629,100,0,101.235741,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;639,100,0,101.030113,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;649,100,0,100.833923,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;659,100,0,100.634865,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;669,100,0,100.444946,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;679,100,0,100.555519,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;689,100,0,100.778938,84.293304,0.244731,0.244731,,,,,,
Data,11/21/2023,16:01:30;699,100,0,101.00563,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;709,100,0,101.221909,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;719,100,0,101.44136,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;729,100,0,101.650711,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;739,100,0,101.863136,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;749,100,0,102.072083,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;759,100,0,101.944107,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;769,100,0,101.700699,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;779,100,0,101.453751,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;789,100,0,101.218124,84.282898,0.248791,0.248791,,,,,,
Data,11/21/2023,16:01:30;799,100,0,100.979065,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;809,100,0,100.750984,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;819,100,0,100.519562,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;829,100,0,100.298775,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;839,100,0,100.279961,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;849,100,0,100.34182,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;859,100,0,100.404587,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;869,100,0,100.464462,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;879,100,0,100.525208,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;889,100,0,100.583176,84.282623,0.252042,0.252042,,,,,,
Data,11/21/2023,16:01:30;899,100,0,100.645515,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;909,100,0,100.698082,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;919,100,0,100.548019,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;929,100,0,100.324356,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;939,100,0,100.097412,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;949,100,0,99.880905,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;959,100,0,99.661224,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;969,100,0,99.45163,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;979,100,0,99.238976,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;989,100,0,99.036095,84.278931,0.256173,0.256173,,,,,,
Data,11/21/2023,16:01:30;999,100,0,99.031456,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;009,100,0,99.086655,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;019,100,0,99.150719,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;029,100,0,99.211845,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;039,100,0,99.273857,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;049,100,0,99.338524,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;059,100,0,99.393066,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;069,100,0,99.450333,84.286774,0.257137,0.257137,,,,,,
Data,11/21/2023,16:01:31;079,100,0,99.429123,84.286774,0.257137,0.257137,,,,,,
