Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,16:02:31;467,-119,-0.6,-0.55,19.46,24,8
11/21/2023,16:02:32;467,-120,-0.3,-0.43,10.56,25,6
11/21/2023,16:02:33;466,-124,-1.2,-0.81,6.14,26,4
11/21/2023,16:02:34;470,-140,-4.8,-2.81,6.08,24,8
11/21/2023,16:02:35;469,-141,-0.3,-1.55,7.74,20,16
11/21/2023,16:02:36;469,-144,-0.9,-1.23,17.47,22,12
11/21/2023,16:02:37;469,-146,-0.6,-0.91,17.66,21,14
11/21/2023,16:02:38;472,-148,-0.6,-0.76,18.62,23,10
11/21/2023,16:02:39;471,-149,-0.3,-0.53,19.07,21,14
11/21/2023,16:02:40;470,-151,-0.6,-0.56,19.84,24,8
11/21/2023,16:02:41;470,-152,-0.3,-0.43,19.9,23,10
11/21/2023,16:02:42;473,-154,-0.6,-0.52,19.46,23,10
11/21/2023,16:02:43;472,-156,-0.6,-0.56,19.07,21,14
11/21/2023,16:02:44;472,-157,-0.3,-0.43,18.56,24,8
11/21/2023,16:02:45;475,-159,-0.6,-0.51,17.98,22,12
11/21/2023,16:02:46;475,-160,-0.3,-0.41,18.5,21,14
11/21/2023,16:02:47;474,-162,-0.6,-0.5,19.01,24,8
11/21/2023,16:02:48;473,-163,-0.3,-0.4,19.39,24,8
11/21/2023,16:02:49;476,-165,-0.6,-0.5,20.03,23,10
11/21/2023,16:02:50;476,-167,-0.6,-0.55,19.9,23,10
11/21/2023,16:02:51;476,-168,-0.3,-0.43,19.71,24,8
11/21/2023,16:02:52;475,-170,-0.6,-0.51,18.82,23,10
11/21/2023,16:02:53;478,-171,-0.3,-0.41,18.56,22,12
11/21/2023,16:02:54;477,-173,-0.6,-0.5,17.73,21,14
11/21/2023,16:02:55;477,-174,-0.3,-0.4,18.5,20,16
11/21/2023,16:02:56;476,-176,-0.6,-0.5,19.07,22,12
11/21/2023,16:02:57;480,-178,-0.6,-0.55,19.78,22,12
11/21/2023,16:02:58;479,-179,-0.3,-0.43,20.22,22,12
11/21/2023,16:02:59;479,-181,-0.6,-0.51,20.29,21,14
11/21/2023,16:03:00;478,-182,-0.3,-0.41,19.58,21,14
11/21/2023,16:03:01;482,-184,-0.6,-0.5,19.2,22,12
11/21/2023,16:03:02;481,-186,-0.6,-0.55,18.82,23,10
11/21/2023,16:03:03;480,-187,-0.3,-0.43,18.5,25,6
11/21/2023,16:03:04;479,-189,-0.6,-0.51,18.75,24,8
11/21/2023,16:03:05;483,-190,-0.3,-0.41,19.26,21,14
11/21/2023,16:03:06;481,-192,-0.6,-0.5,19.97,22,12
11/21/2023,16:03:07;482,-193,-0.3,-0.4,20.48,22,12
11/21/2023,16:03:08;480,-195,-0.6,-0.5,20.67,26,4
11/21/2023,16:03:09;484,-197,-0.6,-0.55,19.97,22,12
11/21/2023,16:03:10;483,-198,-0.3,-0.43,19.26,21,14
11/21/2023,16:03:11;483,-200,-0.6,-0.51,18.82,22,12
11/21/2023,16:03:12;482,-202,-0.6,-0.56,18.56,20,16
