Controller Name:,"New_Controller1723528272"
Trend Name:,"testtrend"
Trend Tags:,"5"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,11/6/2023,15:00:04;980
Stop Time:,11/6/2023,15:02:18;210
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter"
Data,11/6/2023,15:00:05;630,"121.226685","4910.000000","100.170898","84.654266","0.183152"
Data,11/6/2023,15:00:05;640,"122.100044","4921.000000","100.457985","84.653290","0.183246"
Data,11/6/2023,15:00:05;650,"123.062233","4930.000000","100.731895","84.653290","0.183246"
Data,11/6/2023,15:00:05;660,"123.850403","4940.000000","101.100418","84.653290","0.183246"
Data,11/6/2023,15:00:05;670,"124.727158","4950.000000","101.748367","84.653290","0.183246"
Data,11/6/2023,15:00:05;680,"125.604675","4960.000000","102.405785","84.653290","0.183246"
Data,11/6/2023,15:00:05;690,"126.482925","4971.000000","103.032997","84.653290","0.183246"
Data,11/6/2023,15:00:05;700,"127.449615","4980.000000","103.669380","84.653290","0.183246"
Data,11/6/2023,15:00:05;710,"128.240906","4990.000000","104.276527","84.653290","0.183246"
Data,11/6/2023,15:00:05;720,"129.120377","5000.000000","104.892563","84.653290","0.183246"
Data,11/6/2023,15:00:05;730,"130.000015","5010.000000","105.480309","84.653290","0.183246"
Data,11/6/2023,15:00:05;740,"130.879654","5021.000000","106.092064","84.652618","0.183176"
Data,11/6/2023,15:00:05;750,"131.847031","5030.000000","106.726173","84.652618","0.183176"
Data,11/6/2023,15:00:05;760,"132.638336","5040.000000","107.369560","84.652618","0.183176"
Data,11/6/2023,15:00:05;770,"133.517105","5050.000000","107.983398","84.652618","0.183176"
Data,11/6/2023,15:00:05;780,"134.395355","5060.000000","108.606209","84.652618","0.183176"
Data,11/6/2023,15:00:05;790,"135.272873","5071.000000","109.200409","84.652618","0.183176"
Data,11/6/2023,15:00:05;800,"136.237228","5080.000000","109.803299","84.652618","0.183176"
Data,11/6/2023,15:00:05;810,"137.025345","5090.000000","110.378494","84.652618","0.183176"
Data,11/6/2023,15:00:05;820,"137.899979","5100.000000","110.982437","84.652618","0.183176"
Data,11/6/2023,15:00:05;830,"138.773346","5110.000000","111.625153","84.652618","0.183176"
Data,11/6/2023,15:00:05;840,"139.645355","5121.000000","112.277283","84.659149","0.183244"
Data,11/6/2023,15:00:05;850,"140.602753","5130.000000","112.899452","84.659149","0.183244"
Data,11/6/2023,15:00:05;860,"141.384628","5140.000000","113.530731","84.659149","0.183244"
Data,11/6/2023,15:00:05;870,"142.251617","5150.000000","114.133003","84.659149","0.183244"
Data,11/6/2023,15:00:05;880,"143.116714","5160.000000","114.744087","84.659149","0.183244"
Data,11/6/2023,15:00:05;890,"143.979691","5171.000000","115.327103","84.659149","0.183244"
Data,11/6/2023,15:00:05;900,"144.926453","5180.000000","115.958519","84.659149","0.183244"
Data,11/6/2023,15:00:05;910,"145.698944","5190.000000","116.691307","84.659149","0.183244"
Data,11/6/2023,15:00:05;920,"146.554932","5200.000000","117.434868","84.659149","0.183244"
Data,11/6/2023,15:00:05;930,"147.408279","5210.000000","118.144257","84.659149","0.183244"
Data,11/6/2023,15:00:05;940,"148.258911","5221.000000","118.842392","84.657532","0.183250"
Data,11/6/2023,15:00:05;950,"149.191284","5230.000000","119.550735","84.657532","0.183250"
Data,11/6/2023,15:00:05;960,"149.951370","5240.000000","120.226540","84.657532","0.183250"
Data,11/6/2023,15:00:05;970,"150.792923","5250.000000","120.912231","84.657532","0.183250"
Data,11/6/2023,15:00:05;980,"151.631210","5260.000000","121.548058","84.657532","0.183250"
Data,11/6/2023,15:00:05;990,"152.466080","5271.000000","122.119461","84.657532","0.183250"
Data,11/6/2023,15:00:06;000,"153.380310","5280.000000","122.664612","84.657532","0.183250"
Data,11/6/2023,15:00:06;010,"154.125031","5290.000000","123.217743","84.657532","0.183250"
Data,11/6/2023,15:00:06;020,"154.948837","5300.000000","123.745461","84.657532","0.183250"
Data,11/6/2023,15:00:06;030,"155.768738","5310.000000","124.280907","84.657532","0.183250"
Data,11/6/2023,15:00:06;040,"156.584534","5321.000000","124.791748","84.657745","0.183564"
Data,11/6/2023,15:00:06;050,"157.477112","5330.000000","125.310066","84.657745","0.183564"
Data,11/6/2023,15:00:06;060,"158.203445","5340.000000","125.824280","84.657745","0.183564"
Data,11/6/2023,15:00:06;070,"159.006302","5350.000000","126.425110","84.657745","0.183564"
Data,11/6/2023,15:00:06;080,"159.804550","5360.000000","126.998337","84.657745","0.183564"
Data,11/6/2023,15:00:06;090,"160.598145","5371.000000","127.579948","84.657745","0.183564"
Data,11/6/2023,15:00:06;100,"161.465439","5380.000000","128.134842","84.657745","0.183564"
Data,11/6/2023,15:00:06;110,"162.170624","5390.000000","128.697861","84.657745","0.183564"
Data,11/6/2023,15:00:06;120,"162.949280","5400.000000","129.235031","84.657745","0.183564"
Data,11/6/2023,15:00:06;130,"163.722778","5410.000000","129.780029","84.657745","0.183564"
Data,11/6/2023,15:00:06;140,"164.490921","5421.000000","130.317749","84.660217","0.183227"
Data,11/6/2023,15:00:06;150,"165.329590","5430.000000","130.934464","84.660217","0.183227"
Data,11/6/2023,15:00:06;160,"166.010773","5440.000000","131.522827","84.660217","0.183227"
Data,11/6/2023,15:00:06;170,"166.762238","5450.000000","132.119812","84.660217","0.183227"
Data,11/6/2023,15:00:06;180,"167.507874","5460.000000","132.689377","84.660217","0.183227"
Data,11/6/2023,15:00:06;190,"168.247620","5471.000000","133.267288","84.660217","0.183227"
Data,11/6/2023,15:00:06;200,"169.054352","5480.000000","133.818634","84.660217","0.183227"
Data,11/6/2023,15:00:06;210,"169.708832","5490.000000","134.378067","84.660217","0.183227"
Data,11/6/2023,15:00:06;220,"170.430084","5500.000000","134.894409","84.660217","0.183227"
Data,11/6/2023,15:00:06;230,"171.144958","5510.000000","135.346298","84.660217","0.183227"
Data,11/6/2023,15:00:06;240,"171.853378","5521.000000","135.804794","84.661713","0.183303"
Data,11/6/2023,15:00:06;250,"172.624939","5530.000000","136.242218","84.661713","0.183303"
Data,11/6/2023,15:00:06;260,"173.250198","5540.000000","136.686035","84.661713","0.183303"
Data,11/6/2023,15:00:06;270,"173.938416","5550.000000","137.109467","84.661713","0.183303"
Data,11/6/2023,15:00:06;280,"174.619705","5560.000000","137.539093","84.661713","0.183303"
Data,11/6/2023,15:00:06;290,"175.293930","5571.000000","137.948990","84.661713","0.183303"
Data,11/6/2023,15:00:06;300,"176.027328","5580.000000","138.375839","84.661713","0.183303"
Data,11/6/2023,15:00:06;310,"176.620834","5590.000000","138.818970","84.661713","0.183303"
Data,11/6/2023,15:00:06;320,"177.273315","5600.000000","139.268585","84.661713","0.183303"
Data,11/6/2023,15:00:06;330,"177.918304","5610.000000","139.697540","84.661713","0.183303"
Data,11/6/2023,15:00:06;340,"178.555740","5621.000000","140.132751","84.661896","0.185903"
Data,11/6/2023,15:00:06;350,"179.248032","5630.000000","140.547989","84.661896","0.185903"
Data,11/6/2023,15:00:06;360,"179.807495","5640.000000","140.969299","84.661896","0.185903"
Data,11/6/2023,15:00:06;370,"180.421631","5650.000000","141.371262","84.661896","0.185903"
Data,11/6/2023,15:00:06;380,"181.027832","5660.000000","141.789627","84.661896","0.185903"
Data,11/6/2023,15:00:06;390,"181.625931","5671.000000","142.223114","84.661896","0.185903"
Data,11/6/2023,15:00:06;400,"182.274445","5680.000000","142.662979","84.661896","0.185903"
Data,11/6/2023,15:00:06;410,"182.797607","5690.000000","143.082642","84.661896","0.185903"
Data,11/6/2023,15:00:06;420,"183.370987","5700.000000","143.508438","84.661896","0.185903"
Data,11/6/2023,15:00:06;430,"183.935928","5710.000000","143.914658","84.661896","0.185903"
Data,11/6/2023,15:00:06;440,"184.492371","5721.000000","144.326813","84.674377","0.185896"
Data,11/6/2023,15:00:06;450,"185.094513","5730.000000","144.720078","84.674377","0.185896"
Data,11/6/2023,15:00:06;460,"185.579330","5740.000000","145.150848","84.674377","0.185896"
Data,11/6/2023,15:00:06;470,"186.109680","5750.000000","145.665695","84.674377","0.185896"
Data,11/6/2023,15:00:06;480,"186.631195","5760.000000","146.188080","84.674377","0.185896"
Data,11/6/2023,15:00:06;490,"187.143768","5771.000000","146.686447","84.674377","0.185896"
Data,11/6/2023,15:00:06;500,"187.697144","5780.000000","147.192123","84.674377","0.185896"
Data,11/6/2023,15:00:06;510,"188.141739","5790.000000","147.674545","84.674377","0.185896"
Data,11/6/2023,15:00:06;520,"188.626984","5800.000000","148.164063","84.674377","0.185896"
Data,11/6/2023,15:00:06;530,"189.102966","5810.000000","148.631073","84.674377","0.185896"
Data,11/6/2023,15:00:06;540,"189.569626","5821.000000","149.097626","84.675140","0.185808"
Data,11/6/2023,15:00:06;550,"190.072083","5830.000000","149.518829","84.675140","0.185808"
Data,11/6/2023,15:00:06;560,"190.474640","5840.000000","149.946198","84.675140","0.185808"
Data,11/6/2023,15:00:06;570,"190.912872","5850.000000","150.353928","84.675140","0.185808"
Data,11/6/2023,15:00:06;580,"191.341476","5860.000000","150.767593","84.675140","0.185808"
Data,11/6/2023,15:00:06;590,"191.760391","5871.000000","151.162277","84.675140","0.185808"
Data,11/6/2023,15:00:06;600,"192.209930","5880.000000","151.562714","84.675140","0.185808"
Data,11/6/2023,15:00:06;610,"192.568909","5890.000000","151.944778","84.675140","0.185808"
Data,11/6/2023,15:00:06;620,"192.958374","5900.000000","152.324432","84.675140","0.185808"
Data,11/6/2023,15:00:06;630,"193.337891","5910.000000","152.660492","84.675140","0.185808"
Data,11/6/2023,15:00:06;640,"193.707413","5921.000000","153.001450","84.684113","0.187264"
Data,11/6/2023,15:00:06;650,"194.102295","5930.000000","153.326721","84.684113","0.187264"
Data,11/6/2023,15:00:06;660,"194.416229","5940.000000","153.656784","84.684113","0.187264"
Data,11/6/2023,15:00:06;670,"194.755417","5950.000000","153.971695","84.684113","0.187264"
Data,11/6/2023,15:00:06;680,"195.084351","5960.000000","154.291199","84.684113","0.187264"
Data,11/6/2023,15:00:06;690,"195.403046","5971.000000","154.596039","84.684113","0.187264"
Data,11/6/2023,15:00:06;700,"195.741638","5980.000000","154.913773","84.684113","0.187264"
Data,11/6/2023,15:00:06;710,"196.009338","5990.000000","155.244583","84.684113","0.187264"
Data,11/6/2023,15:00:06;720,"196.296875","6000.000000","155.580276","84.684113","0.187264"
Data,11/6/2023,15:00:06;730,"196.573959","6010.000000","155.900513","84.684113","0.187264"
Data,11/6/2023,15:00:06;740,"196.840530","6021.000000","156.225418","84.687805","0.187241"
Data,11/6/2023,15:00:06;750,"197.121552","6030.000000","156.535416","84.687805","0.187241"
Data,11/6/2023,15:00:06;760,"197.341949","6040.000000","156.849930","84.687805","0.187241"
Data,11/6/2023,15:00:06;770,"197.576721","6050.000000","157.149994","84.687805","0.187241"
Data,11/6/2023,15:00:06;780,"197.800827","6060.000000","157.464172","84.687805","0.187241"
Data,11/6/2023,15:00:06;790,"198.014221","6071.000000","157.795654","84.687805","0.187241"
Data,11/6/2023,15:00:06;800,"198.236572","6080.000000","158.132019","84.687805","0.187241"
Data,11/6/2023,15:00:06;810,"198.408783","6090.000000","158.452896","84.687805","0.187241"
Data,11/6/2023,15:00:06;820,"198.589859","6100.000000","158.778503","84.687805","0.187241"
Data,11/6/2023,15:00:06;830,"198.760101","6110.000000","159.089157","84.687805","0.187241"
Data,11/6/2023,15:00:06;840,"198.919510","6121.000000","159.404358","84.694946","0.187260"
Data,11/6/2023,15:00:06;850,"199.082275","6130.000000","159.705063","84.694946","0.187260"
Data,11/6/2023,15:00:06;860,"199.205627","6140.000000","160.009491","84.694946","0.187260"
Data,11/6/2023,15:00:06;870,"199.332306","6150.000000","160.297699","84.694946","0.187260"
Data,11/6/2023,15:00:06;880,"199.448029","6160.000000","160.590103","84.694946","0.187260"
Data,11/6/2023,15:00:06;890,"199.552795","6171.000000","160.869080","84.694946","0.187260"
Data,11/6/2023,15:00:06;900,"199.655334","6180.000000","161.152145","84.694946","0.187260"
Data,11/6/2023,15:00:06;910,"199.729355","6190.000000","161.422195","84.694946","0.187260"
Data,11/6/2023,15:00:06;920,"199.801117","6200.000000","161.696213","84.694946","0.187260"
Data,11/6/2023,15:00:06;930,"199.861877","6210.000000","161.957642","84.694946","0.187260"
