Controller Name:,"New_Controller2027111520"
Trend Name:,"testtrend"
Trend Tags:,"7"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,12/23/2023,16:20:42;948
Stop Time:,12/23/2023,16:23:29;518
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter","Preform_Idler_Speed","Spool_Dia"
Data,12/23/2023,16:20:43;478,"189.630676","2170.000000","153.580780","84.951355","0.209312","0.191737","70.184967"
Data,12/23/2023,16:20:43;488,"189.862717","2180.000000","153.695007","84.948639","0.208302","0.191737","70.148750"
Data,12/23/2023,16:20:43;498,"190.094177","2190.000000","153.800568","84.937531","0.208860","0.191737","70.232246"
Data,12/23/2023,16:20:43;508,"190.325012","2200.000000","153.927765","84.939919","0.208014","0.191737","69.460899"
Data,12/23/2023,16:20:43;518,"190.555283","2210.000000","154.132111","84.934723","0.209100","0.191737","69.473175"
Data,12/23/2023,16:20:43;528,"190.784943","2220.000000","154.346497","84.939545","0.208873","0.191737","69.470329"
Data,12/23/2023,16:20:43;538,"191.014008","2230.000000","154.524612","84.944824","0.207579","0.191737","70.210327"
Data,12/23/2023,16:20:43;548,"191.242462","2240.000000","154.692581","84.948418","0.208164","0.191737","70.253159"
Data,12/23/2023,16:20:43;558,"191.470322","2250.000000","154.820297","84.955559","0.207737","0.191737","70.300255"
Data,12/23/2023,16:20:43;568,"191.697571","2260.000000","154.924454","84.960297","0.207842","0.191737","70.207489"
Data,12/23/2023,16:20:43;578,"191.924210","2270.000000","155.054565","84.964722","0.208002","0.191737","70.266281"
Data,12/23/2023,16:20:43;588,"192.150238","2280.000000","155.244797","84.966492","0.207283","0.191737","70.328583"
Data,12/23/2023,16:20:43;598,"192.375641","2290.000000","155.477829","84.952194","0.207797","0.191737","70.321747"
Data,12/23/2023,16:20:43;608,"192.600449","2300.000000","155.675644","84.953094","0.207116","0.191737","70.305603"
Data,12/23/2023,16:20:43;618,"192.824631","2310.000000","155.830078","84.953087","0.208431","0.191737","70.264130"
Data,12/23/2023,16:20:43;628,"193.048187","2320.000000","155.967850","84.959198","0.208222","0.191737","70.228180"
Data,12/23/2023,16:20:43;638,"193.271118","2330.000000","156.064545","84.967079","0.206750","0.191737","70.191811"
Data,12/23/2023,16:20:43;648,"193.493439","2340.000000","156.189865","84.974625","0.208160","0.191737","70.198906"
Data,12/23/2023,16:20:43;658,"193.715134","2350.000000","156.375381","84.978851","0.207345","0.191737","70.251350"
Data,12/23/2023,16:20:43;668,"193.936188","2360.000000","156.592010","84.985909","0.206740","0.191737","70.259644"
Data,12/23/2023,16:20:43;678,"194.156616","2370.000000","156.780487","84.990494","0.207421","0.191737","70.290092"
