Controller Name:,"New_Controller2027111520"
Trend Name:,"testtrend"
Trend Tags:,"7"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,12/24/2023,11:30:58;997
Stop Time:,12/24/2023,11:36:35;527
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter","Preform_Idler_Speed","Spool_Dia"
Data,12/24/2023,11:30:58;997,"193.182022","3870.000000","164.854858","84.683167","0.169353","0.173509","69.329033"
Data,12/24/2023,11:30:59;007,"193.315643","3880.000000","164.881104","84.686737","0.168522","0.173509","69.324448"
Data,12/24/2023,11:30:59;017,"193.449036","3890.000000","164.954956","84.687408","0.169370","0.173509","69.325020"
Data,12/24/2023,11:30:59;027,"193.582199","3900.000000","165.075836","84.690430","0.168082","0.173509","69.323112"
Data,12/24/2023,11:30:59;037,"193.715134","3910.000000","165.221893","84.692680","0.169524","0.173509","69.321686"
Data,12/24/2023,11:30:59;047,"193.847839","3920.000000","165.331329","84.689865","0.168177","0.173509","69.325211"
Data,12/24/2023,11:30:59;057,"193.980331","3930.000000","165.429657","84.682281","0.169486","0.173509","69.324066"
Data,12/24/2023,11:30:59;067,"194.112579","3940.000000","165.486237","84.706718","0.168594","0.173509","69.320152"
Data,12/24/2023,11:30:59;077,"194.244598","3950.000000","165.528946","84.673691","0.170106","0.173509","69.329208"
Data,12/24/2023,11:30:59;087,"194.376404","3960.000000","165.584717","84.673805","0.168142","0.173509","69.328735"
Data,12/24/2023,11:30:59;097,"194.507996","3970.000000","165.706802","84.677444","0.169481","0.173509","69.322350"
Data,12/24/2023,11:30:59;107,"194.639328","3980.000000","165.839813","84.678322","0.168297","0.173509","69.331215"
Data,12/24/2023,11:30:59;117,"194.770447","3990.000000","165.937195","84.679657","0.168973","0.173509","69.327309"
Data,12/24/2023,11:30:59;127,"194.901321","4000.000000","166.019165","84.682045","0.167828","0.173509","69.318535"
Data,12/24/2023,11:30:59;137,"195.031982","4010.000000","166.091003","84.685570","0.168623","0.173509","69.324066"
Data,12/24/2023,11:30:59;147,"195.162399","4020.000000","166.129257","84.682281","0.168230","0.173509","69.319679"
Data,12/24/2023,11:30:59;157,"195.292587","4030.000000","166.171417","84.674889","0.168781","0.173509","69.323013"
Data,12/24/2023,11:30:59;167,"195.422546","4040.000000","166.266571","84.701302","0.168605","0.173509","69.327881"
Data,12/24/2023,11:30:59;177,"195.552277","4050.000000","166.383179","84.663071","0.166736","0.173509","69.318535"
Data,12/24/2023,11:30:59;187,"195.681763","4060.000000","166.512527","84.663361","0.166818","0.173509","69.325401"
Data,12/24/2023,11:30:59;197,"195.811020","4070.000000","166.611496","84.669411","0.167115","0.173509","69.322540"
Data,12/24/2023,11:30:59;207,"195.940048","4080.000000","166.663254","84.670654","0.166993","0.173509","69.319298"
Data,12/24/2023,11:30:59;217,"196.068848","4090.000000","166.690811","84.674484","0.167043","0.173509","69.319962"
Data,12/24/2023,11:30:59;227,"196.197388","4100.000000","166.714233","84.673553","0.167374","0.173509","69.317863"
Data,12/24/2023,11:30:59;237,"196.325714","4110.000000","166.813095","84.678017","0.167067","0.173509","69.325874"
Data,12/24/2023,11:30:59;247,"196.453796","4120.000000","166.957184","84.673409","0.167149","0.173509","69.331406"
Data,12/24/2023,11:30:59;257,"196.581635","4130.000000","167.086365","84.667786","0.167086","0.173509","69.322632"
Data,12/24/2023,11:30:59;267,"196.709259","4140.000000","167.175293","84.683510","0.167780","0.173509","69.323586"
Data,12/24/2023,11:30:59;277,"196.836639","4150.000000","167.237122","84.688110","0.167422","0.173509","69.325211"
Data,12/24/2023,11:30:59;287,"196.963776","4160.000000","167.270584","84.687279","0.167016","0.173509","69.322823"
Data,12/24/2023,11:30:59;297,"197.090668","4170.000000","167.305832","84.692139","0.168101","0.173509","69.321205"
Data,12/24/2023,11:30:59;307,"197.217346","4180.000000","167.413452","84.691902","0.167618","0.173509","69.321205"
Data,12/24/2023,11:30:59;317,"197.343750","4190.000000","167.559204","84.690102","0.167534","0.173509","69.319008"
Data,12/24/2023,11:30:59;327,"197.469940","4200.000000","167.711136","84.689301","0.167466","0.173509","69.323776"
Data,12/24/2023,11:30:59;337,"197.595886","4210.000000","167.828491","84.690147","0.165907","0.173509","69.332375"
Data,12/24/2023,11:30:59;347,"197.721588","4220.000000","167.914139","84.684746","0.167643","0.173509","69.318535"
Data,12/24/2023,11:30:59;357,"197.847046","4230.000000","167.962296","84.677872","0.168123","0.173509","69.322159"
Data,12/24/2023,11:30:59;367,"197.972290","4240.000000","168.000702","84.679695","0.167006","0.173509","69.319199"
Data,12/24/2023,11:30:59;377,"198.097260","4250.000000","168.075638","84.680191","0.168432","0.173509","69.320427"
Data,12/24/2023,11:30:59;387,"198.222000","4260.000000","168.208664","84.680206","0.167420","0.173509","69.323967"
Data,12/24/2023,11:30:59;397,"198.346497","4270.000000","168.333221","84.684387","0.168198","0.173509","69.326828"
Data,12/24/2023,11:30:59;407,"198.470749","4280.000000","168.441177","84.685532","0.166697","0.173509","69.324921"
Data,12/24/2023,11:30:59;417,"198.594757","4290.000000","168.511139","84.685295","0.168466","0.173509","69.321205"
Data,12/24/2023,11:30:59;427,"198.718536","4300.000000","168.568008","84.687622","0.166532","0.173509","69.321678"
Data,12/24/2023,11:30:59;437,"198.842056","4310.000000","168.634262","84.689186","0.164357","0.173509","69.323112"
Data,12/24/2023,11:30:59;447,"198.965332","4320.000000","168.732758","84.685486","0.165399","0.173509","69.327118"
Data,12/24/2023,11:30:59;457,"199.088348","4330.000000","168.863510","84.676094","0.167542","0.173509","69.331604"
Data,12/24/2023,11:30:59;467,"199.211151","4340.000000","169.008331","84.706352","0.164875","0.173509","69.319771"
