Date,Time,Pos,Speed,Speed_filt,Lux,Range,Diameter
11/21/2023,11:47:03;711,-123,-0.6,-0.49,20.22,26,4
11/21/2023,11:47:04;714,-125,-0.6,-0.55,19.33,27,2
11/21/2023,11:47:05;713,-126,-0.3,-0.42,18.3,26,4
11/21/2023,11:47:06;713,-128,-0.6,-0.51,18.18,23,10
11/21/2023,11:47:07;712,-129,-0.3,-0.41,17.92,27,2
11/21/2023,11:47:08;715,-131,-0.6,-0.5,17.86,18,20
11/21/2023,11:47:09;715,-133,-0.6,-0.55,17.98,21,14
11/21/2023,11:47:10;715,-135,-0.6,-0.58,18.69,22,12
11/21/2023,11:47:11;713,-136,-0.3,-0.44,19.78,20,16
11/21/2023,11:47:12;717,-138,-0.6,-0.52,20.22,27,2
11/21/2023,11:47:13;717,-139,-0.3,-0.41,20.22,24,8
11/21/2023,11:47:14;716,-140,-0.3,-0.35,19.65,20,16
11/21/2023,11:47:15;715,-142,-0.6,-0.48,19.01,22,12
11/21/2023,11:47:16;719,-144,-0.6,-0.54,19.26,24,8
11/21/2023,11:47:17;718,-145,-0.3,-0.42,19.52,20,16
11/21/2023,11:47:18;718,-146,-0.3,-0.36,19.33,24,8
11/21/2023,11:47:19;720,-148,-0.6,-0.48,18.88,23,10
11/21/2023,11:47:20;720,-149,-0.3,-0.39,21.89,19,18
11/21/2023,11:47:21;719,-150,-0.3,-0.34,22.34,19,18
11/21/2023,11:47:22;719,-152,-0.6,-0.47,22.66,24,8
11/21/2023,11:47:23;722,-154,-0.6,-0.54,21.76,25,6
11/21/2023,11:47:24;721,-155,-0.3,-0.42,20.99,25,6
11/21/2023,11:47:25;721,-157,-0.6,-0.51,20.42,19,18
11/21/2023,11:47:26;721,-158,-0.3,-0.4,20.48,22,12
11/21/2023,11:47:27;723,-160,-0.6,-0.5,20.74,26,4
11/21/2023,11:47:28;723,-162,-0.6,-0.55,21.38,21,14
11/21/2023,11:47:29;723,-164,-0.6,-0.58,22.14,21,14
11/21/2023,11:47:30;722,-165,-0.3,-0.44,23.17,22,12
11/21/2023,11:47:31;725,-167,-0.6,-0.52,17.92,24,8
11/21/2023,11:47:32;725,-168,-0.3,-0.41,18.94,24,8
11/21/2023,11:47:33;724,-170,-0.6,-0.5,18.56,21,14
11/21/2023,11:47:34;723,-171,-0.3,-0.4,18.24,24,8
11/21/2023,11:47:35;726,-173,-0.6,-0.5,18.05,24,8
11/21/2023,11:47:36;725,-175,-0.6,-0.55,16.45,24,8
11/21/2023,11:47:37;725,-176,-0.3,-0.43,22.53,19,18
11/21/2023,11:47:38;724,-177,-0.3,-0.36,22.53,22,12
11/21/2023,11:47:39;728,-179,-0.6,-0.48,23.1,19,18
11/21/2023,11:47:40;727,-180,-0.3,-0.39,23.17,20,16
11/21/2023,11:47:41;727,-182,-0.6,-0.5,22.53,20,16
11/21/2023,11:47:42;726,-184,-0.6,-0.55,22.14,24,8
11/21/2023,11:47:43;730,-185,-0.3,-0.42,21.12,24,8
11/21/2023,11:47:44;729,-187,-0.6,-0.51,20.86,21,14
11/21/2023,11:47:45;728,-188,-0.3,-0.41,21.38,25,6
11/21/2023,11:47:46;727,-190,-0.6,-0.5,22.08,22,12
11/21/2023,11:47:47;731,-191,-0.3,-0.4,22.72,18,20
11/21/2023,11:47:48;731,-193,-0.6,-0.5,23.42,22,12
11/21/2023,11:47:49;730,-195,-0.6,-0.55,23.62,24,8
11/21/2023,11:47:50;729,-196,-0.3,-0.43,19.65,21,14
11/21/2023,11:47:51;734,-198,-0.6,-0.51,19.2,23,10
11/21/2023,11:47:52;732,-199,-0.3,-0.41,21.95,29,-2
11/21/2023,11:47:53;731,-201,-0.6,-0.5,21.44,19,18
11/21/2023,11:47:54;735,-203,-0.6,-0.55,21.95,20,16
11/21/2023,11:47:55;734,-204,-0.3,-0.43,22.4,21,14
11/21/2023,11:47:56;733,-206,-0.6,-0.51,22.78,21,14
11/21/2023,11:47:57;733,-207,-0.3,-0.41,23.55,25,6
11/21/2023,11:47:58;736,-209,-0.6,-0.5,23.68,18,20
11/21/2023,11:47:59;736,-210,-0.3,-0.4,22.91,18,20
11/21/2023,11:48:00;736,-212,-0.6,-0.5,22.27,18,20
11/21/2023,11:48:01;734,-214,-0.6,-0.55,21.7,23,10
11/21/2023,11:48:02;737,-215,-0.3,-0.43,21.5,22,12
