Controller Name:,New_Controller2095709328,,,,,,,,,,,,,,,
Trend Name:,testtrend,,,,,,,,,,,,,,,
Trend Tags:,5,,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Start Time:,11/21/2023,11:45:46;433,,,,,,,,,,,,,,
Stop Time:,11/21/2023,11:48:06;933,,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,,,
Header:,Date,Time,sinusoidal_wave,time,Measured_rpm_Filtered,Temperature,Diameter,,,,,,,,,
Data,11/21/2023,11:45:46;993,119.006226,19759,103.998291,84.723206,0.212504,,,,,,,,,
Data,11/21/2023,11:45:47;003,119.440781,19769,104.283005,84.723206,0.212504,,,,,,,,,
Data,11/21/2023,11:45:47;013,119.875679,19779,104.641304,84.723206,0.212504,,,,,,,,,
Data,11/21/2023,11:45:47;023,120.311111,19789,105.004852,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;033,120.746933,19800,105.3517,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;043,121.226692,19809,105.703613,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;053,121.619583,19820,106.039368,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;063,122.10009,19829,106.380028,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;073,122.493553,19840,106.705063,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;083,122.974731,19849,107.013023,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;093,123.368713,19859,107.246353,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;103,123.806587,19869,107.483093,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;113,124.24485,19879,107.708954,84.744232,0.214895,,,,,,,,,
Data,11/21/2023,11:45:47;123,124.683266,19889,107.938133,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;133,125.121964,19900,108.156784,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;143,125.604691,19909,108.378624,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;153,125.999847,19919,108.590279,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;163,126.438995,19929,108.867302,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;173,126.878357,19939,109.304253,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;183,127.317711,19949,109.747589,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;193,127.757301,19960,110.170563,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;203,128.240891,19969,110.599731,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;213,128.636658,19979,111.009171,84.74408,0.218764,,,,,,,,,
Data,11/21/2023,11:45:47;223,129.076401,19989,111.424606,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;233,129.516235,20000,111.820961,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;243,130.000031,20009,112.193321,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;253,130.395889,20020,112.466042,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;263,130.879654,20029,112.742744,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;273,131.275421,20039,113.006737,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;283,131.715118,20050,113.27459,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;293,132.198715,20060,113.530144,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;303,132.638306,20069,113.789429,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;313,133.033859,20079,114.036797,84.756287,0.226249,,,,,,,,,
Data,11/21/2023,11:45:47;323,133.473236,20089,114.306793,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;333,133.91243,20100,114.61718,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;343,134.395355,20109,114.932098,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;353,134.790314,20120,115.232559,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;363,135.272919,20129,115.537415,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;373,135.667511,20140,115.828262,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;383,136.149567,20150,116.114502,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;393,136.587616,20159,116.404922,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;403,136.981613,20169,116.690414,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;413,137.419083,20179,117.008125,84.757568,0.230677,,,,,,,,,
Data,11/21/2023,11:45:47;423,137.856308,20189,117.311241,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;433,138.293106,20199,117.618797,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;443,138.729706,20209,117.912231,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;453,139.165894,20219,118.209946,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;463,139.601791,20229,118.49398,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;473,140.037231,20240,118.773521,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;483,140.515778,20249,119.019936,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;493,140.906982,20259,119.151825,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;503,141.341263,20269,119.285637,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;513,141.774948,20279,119.4133,84.778076,0.23446,,,,,,,,,
Data,11/21/2023,11:45:47;523,142.208313,20289,119.542831,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;533,142.641129,20300,119.666428,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;543,143.116653,20309,119.79184,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;553,143.50531,20320,119.911469,84.797455,0.235587,,,,,,,,,
Data,11/21/2023,11:45:47;563,143.979736,20329,120.097588,84.797455,0.235587,,,,,,,,,
