Controller Name:,New_Controller1158935656,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:34:14;554,,,,,,,,,,,,
Stop Time:,8/18/2023,15:36:24;334,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,
Post-Samples:,0,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,distance,t,v1,,
Data,8/18/2023,15:34:15;174,0.695794,33.706211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;184,0.695794,33.706211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;194,0.695092,33.706211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;204,0.695092,33.706211,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;214,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;224,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;234,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;244,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;254,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;264,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;274,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;284,0.695092,36.475922,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;294,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;304,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;314,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;324,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;334,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;344,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;354,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;364,0.692739,53.736507,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;374,0.692739,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;384,0.692739,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;394,0.696783,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;404,0.696783,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;414,0.696783,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;424,0.696783,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;434,0.696783,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;444,0.696783,45.573666,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;454,0.696783,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;464,0.696783,40.306881,,0.269,0.5904,,,,,,,
Data,8/18/2023,15:34:15;474,0.696783,40.306881,,0.269,0.5904,,,,,,,
