Controller Name:,New_Controller1158935656,,,,,,,,,,,,,,
Trend Name:,diameter,,,,,,,,,,,,,,
Trend Tags:,2,,,,,,,,,,,,,,
Sample Period:,10 ms,,,,,,,,,,,,,,
Description:,,,,,,,,,,,,,,,
Start Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Stop Trigger:,No Trigger,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Start Time:,8/18/2023,15:47:00;651,,,,,,,,,,,,,
Stop Time:,8/18/2023,15:48:06;831,,,,,,,,,,,,,
Pre-Samples:,0,,,,,,,,,,,,,,6618
Post-Samples:,0,,,,,,,,,,,,,,
Header:,Date,Time,Diameter,Measured_rpm,,,diameter,rpm,,,,,,,
Data,8/18/2023,15:47:01;371,0.296079,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;381,0.29738,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;391,0.29738,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;401,0.29738,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;411,0.29738,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;421,0.29738,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;431,0.29738,192.61879,,,,,,,,,,,
Data,8/18/2023,15:47:01;441,0.29738,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;451,0.29738,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;461,0.29738,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;471,0.29738,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;481,0.299166,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;491,0.299166,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;501,0.299166,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;511,0.299166,195.400436,,,,,,,,,,,
Data,8/18/2023,15:47:01;521,0.299166,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;531,0.299166,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;541,0.299166,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;551,0.299166,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;561,0.299166,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;571,0.299166,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;581,0.300236,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;591,0.300236,196.778107,,,,,,,,,,,
Data,8/18/2023,15:47:01;601,0.300236,200.744644,,,,,,,,,,,
Data,8/18/2023,15:47:01;611,0.300236,200.744644,,,,,,,,,,,
