Controller Name:,"New_Controller1723528272"
Trend Name:,"testtrend"
Trend Tags:,"5"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,11/6/2023,16:22:07;736
Stop Time:,11/6/2023,16:24:36;906
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"sinusoidal_wave","time","Measured_rpm_Filtered","Temperature","Diameter"
Data,11/6/2023,16:22:07;736,"67.629532","2260.000000","110.269562","84.692139","0.159218"
Data,11/6/2023,16:22:07;746,"67.041611","2270.000000","109.798805","84.692139","0.159218"
Data,11/6/2023,16:22:07;756,"66.476074","2280.000000","109.008865","84.692139","0.159218"
Data,11/6/2023,16:22:07;766,"65.933113","2291.000000","108.138023","84.692139","0.159218"
Data,11/6/2023,16:22:07;776,"65.362144","2300.000000","107.307175","84.696442","0.159307"
Data,11/6/2023,16:22:07;786,"64.915634","2310.000000","106.464165","84.696442","0.159307"
Data,11/6/2023,16:22:07;796,"64.441505","2320.000000","105.659889","84.696442","0.159307"
Data,11/6/2023,16:22:07;806,"63.990654","2330.000000","104.843849","84.696442","0.159307"
Data,11/6/2023,16:22:07;816,"63.563263","2341.000000","104.065285","84.696442","0.159307"
Data,11/6/2023,16:22:07;826,"63.120392","2350.000000","103.251595","84.696442","0.159307"
Data,11/6/2023,16:22:07;836,"62.779434","2360.000000","102.252670","84.696442","0.159307"
Data,11/6/2023,16:22:07;846,"62.423279","2370.000000","101.157951","84.696442","0.159307"
Data,11/6/2023,16:22:07;856,"62.091141","2380.000000","100.113525","84.696442","0.159307"
Data,11/6/2023,16:22:07;866,"61.783104","2391.000000","99.053810","84.696442","0.159307"
Data,11/6/2023,16:22:07;876,"61.472290","2400.000000","98.042786","84.701294","0.158021"
Data,11/6/2023,16:22:07;886,"61.239883","2410.000000","97.016975","84.701294","0.158021"
Data,11/6/2023,16:22:07;896,"61.004868","2420.000000","96.038216","84.701294","0.158021"
Data,11/6/2023,16:22:07;906,"60.794373","2430.000000","95.045204","84.701294","0.158021"
Data,11/6/2023,16:22:07;916,"60.608459","2441.000000","94.645233","84.701294","0.158021"
Data,11/6/2023,16:22:07;926,"60.432434","2450.000000","94.355629","84.701294","0.158021"
Data,11/6/2023,16:22:07;936,"60.310661","2460.000000","94.079323","84.701294","0.158021"
Data,11/6/2023,16:22:07;946,"60.198875","2470.000000","93.798988","84.701294","0.158021"
Data,11/6/2023,16:22:07;956,"60.111893","2480.000000","93.531532","84.701294","0.158021"
Data,11/6/2023,16:22:07;966,"60.049736","2491.000000","93.260162","84.701294","0.158021"
Data,11/6/2023,16:22:07;976,"60.010071","2500.000000","93.001251","84.702454","0.156763"
Data,11/6/2023,16:22:07;986,"60.000000","2510.000000","92.738548","84.702454","0.156763"
Data,11/6/2023,16:22:07;996,"60.012436","2520.000000","92.189369","84.702454","0.156763"
Data,11/6/2023,16:22:08;006,"60.049736","2530.000000","91.568810","84.702454","0.156763"
Data,11/6/2023,16:22:08;016,"60.111893","2541.000000","90.976753","84.702454","0.156763"
Data,11/6/2023,16:22:08;026,"60.208939","2550.000000","90.376030","84.702454","0.156763"
Data,11/6/2023,16:22:08;036,"60.310669","2560.000000","89.802902","84.702454","0.156763"
Data,11/6/2023,16:22:08;046,"60.447212","2570.000000","89.221397","84.702454","0.156763"
Data,11/6/2023,16:22:08;056,"60.608467","2580.000000","88.666595","84.702454","0.156763"
Data,11/6/2023,16:22:08;066,"60.794380","2591.000000","88.103691","84.702454","0.156763"
Data,11/6/2023,16:22:08;076,"61.027283","2600.000000","87.336388","84.702026","0.156722"
Data,11/6/2023,16:22:08;086,"61.239891","2610.000000","86.509010","84.702026","0.156722"
Data,11/6/2023,16:22:08;096,"61.499344","2620.000000","85.719658","84.702026","0.156722"
Data,11/6/2023,16:22:08;106,"61.783119","2630.000000","84.918747","84.702026","0.156722"
Data,11/6/2023,16:22:08;116,"62.091148","2641.000000","84.154625","84.702026","0.156722"
Data,11/6/2023,16:22:08;126,"62.457832","2650.000000","83.379326","84.702026","0.156722"
Data,11/6/2023,16:22:08;136,"62.779449","2660.000000","82.639648","84.702026","0.156722"
Data,11/6/2023,16:22:08;146,"63.159492","2670.000000","81.889153","84.702026","0.156722"
Data,11/6/2023,16:22:08;156,"63.563286","2680.000000","81.835663","84.702026","0.156722"
Data,11/6/2023,16:22:08;166,"63.990677","2691.000000","81.922050","84.702026","0.156722"
Data,11/6/2023,16:22:08;176,"64.487885","2700.000000","82.004456","84.702332","0.155439"
Data,11/6/2023,16:22:08;186,"64.915665","2710.000000","82.088066","84.702332","0.155439"
Data,11/6/2023,16:22:08;196,"65.412918","2720.000000","82.167847","84.702332","0.155439"
Data,11/6/2023,16:22:08;206,"65.933136","2730.000000","82.248787","84.702332","0.155439"
Data,11/6/2023,16:22:08;216,"66.476105","2741.000000","82.326019","84.702332","0.155439"
Data,11/6/2023,16:22:08;226,"67.099434","2750.000000","82.404381","84.702332","0.155439"
Data,11/6/2023,16:22:08;236,"67.629562","2760.000000","82.157509","84.702332","0.155439"
Data,11/6/2023,16:22:08;246,"68.239624","2770.000000","81.848328","84.702332","0.155439"
Data,11/6/2023,16:22:08;256,"68.871643","2780.000000","81.534630","84.702332","0.155439"
Data,11/6/2023,16:22:08;266,"69.525375","2791.000000","81.235344","84.702332","0.155439"
Data,11/6/2023,16:22:08;276,"70.269287","2800.000000","80.931656","84.704926","0.155403"
Data,11/6/2023,16:22:08;286,"70.897049","2810.000000","80.641930","84.704926","0.155403"
Data,11/6/2023,16:22:08;296,"71.614532","2820.000000","80.347977","84.704926","0.155403"
Data,11/6/2023,16:22:08;306,"72.352737","2830.000000","80.067520","84.704926","0.155403"
Data,11/6/2023,16:22:08;316,"73.111420","2841.000000","80.161041","84.704926","0.155403"
Data,11/6/2023,16:22:08;326,"73.969315","2850.000000","80.339485","84.704926","0.155403"
Data,11/6/2023,16:22:08;336,"74.689163","2860.000000","80.520538","84.704926","0.155403"
Data,11/6/2023,16:22:08;346,"75.507645","2870.000000","80.693275","84.704926","0.155403"
Data,11/6/2023,16:22:08;356,"76.345505","2880.000000","80.868546","84.704926","0.155403"
Data,11/6/2023,16:22:08;366,"77.202438","2891.000000","81.035751","84.704926","0.155403"
Data,11/6/2023,16:22:08;376,"78.166687","2900.000000","81.205406","84.705078","0.155433"
Data,11/6/2023,16:22:08;386,"78.972229","2910.000000","81.367256","84.705078","0.155433"
Data,11/6/2023,16:22:08;396,"79.884476","2920.000000","81.563042","84.705078","0.155433"
Data,11/6/2023,16:22:08;406,"80.814529","2930.000000","81.757278","84.705078","0.155433"
Data,11/6/2023,16:22:08;416,"81.762070","2941.000000","81.948418","84.705078","0.155433"
Data,11/6/2023,16:22:08;426,"82.824127","2950.000000","82.142357","84.705078","0.155433"
Data,11/6/2023,16:22:08;436,"83.708206","2960.000000","82.327385","84.705078","0.155433"
Data,11/6/2023,16:22:08;446,"84.706116","2970.000000","82.515121","84.705078","0.155433"
Data,11/6/2023,16:22:08;456,"85.720116","2980.000000","82.699783","84.705078","0.155433"
Data,11/6/2023,16:22:08;466,"86.749870","2991.000000","82.875954","84.705078","0.155433"
Data,11/6/2023,16:22:08;476,"87.900307","3000.000000","83.201820","84.707855","0.155412"
Data,11/6/2023,16:22:08;486,"88.855057","3010.000000","83.564812","84.707855","0.155412"
Data,11/6/2023,16:22:08;496,"89.929794","3020.000000","83.911133","84.707855","0.155412"
Data,11/6/2023,16:22:08;506,"91.018738","3030.000000","84.262520","84.707855","0.155412"
Data,11/6/2023,16:22:08;516,"92.121529","3041.000000","84.597763","84.707855","0.155412"
Data,11/6/2023,16:22:08;526,"93.350128","3050.000000","84.937912","84.707855","0.155412"
Data,11/6/2023,16:22:08;536,"94.367126","3060.000000","85.262459","84.707855","0.155412"
Data,11/6/2023,16:22:08;546,"95.509102","3070.000000","85.591721","84.707855","0.155412"
Data,11/6/2023,16:22:08;556,"96.663361","3080.000000","85.960304","84.707855","0.155412"
Data,11/6/2023,16:22:08;566,"97.829437","3091.000000","86.345848","84.707855","0.155412"
Data,11/6/2023,16:22:08;576,"99.125328","3100.000000","86.713669","84.705627","0.155412"
Data,11/6/2023,16:22:08;586,"100.195480","3110.000000","87.086876","84.705627","0.155412"
Data,11/6/2023,16:22:08;596,"101.394585","3120.000000","87.442947","84.705627","0.155412"
Data,11/6/2023,16:22:08;606,"102.603851","3130.000000","87.804214","84.705627","0.155412"
Data,11/6/2023,16:22:08;616,"103.822914","3141.000000","88.148895","84.705627","0.155412"
Data,11/6/2023,16:22:08;626,"105.174538","3150.000000","88.498611","84.705627","0.155412"
Data,11/6/2023,16:22:08;636,"106.288376","3160.000000","89.057068","84.705627","0.155412"
Data,11/6/2023,16:22:08;646,"107.533997","3170.000000","89.671417","84.705627","0.155412"
Data,11/6/2023,16:22:08;656,"108.787575","3180.000000","90.257545","84.705627","0.155412"
Data,11/6/2023,16:22:08;666,"110.048683","3191.000000","90.852249","84.705627","0.155412"
Data,11/6/2023,16:22:08;676,"111.444107","3200.000000","91.419632","84.706360","0.156735"
Data,11/6/2023,16:22:08;686,"112.591743","3210.000000","91.995323","84.706360","0.156735"
Data,11/6/2023,16:22:08;696,"113.872795","3220.000000","92.544556","84.706360","0.156735"
Data,11/6/2023,16:22:08;706,"115.159546","3230.000000","93.101822","84.706360","0.156735"
Data,11/6/2023,16:22:08;716,"116.451569","3241.000000","93.575821","84.706360","0.156735"
Data,11/6/2023,16:22:08;726,"117.878334","3250.000000","94.044540","84.706360","0.156735"
Data,11/6/2023,16:22:08;736,"119.049629","3260.000000","94.491714","84.706360","0.156735"
Data,11/6/2023,16:22:08;746,"120.354706","3270.000000","94.945450","84.706360","0.156735"
Data,11/6/2023,16:22:08;756,"121.663246","3280.000000","95.378319","84.706360","0.156735"
Data,11/6/2023,16:22:08;766,"122.974716","3291.000000","95.817528","84.706360","0.156735"
Data,11/6/2023,16:22:08;776,"124.420197","3300.000000","96.236565","84.711823","0.156675"
Data,11/6/2023,16:22:08;786,"125.604706","3310.000000","96.648949","84.711823","0.156675"
Data,11/6/2023,16:22:08;796,"126.922264","3320.000000","97.292564","84.711823","0.156675"
Data,11/6/2023,16:22:08;806,"128.240906","3330.000000","97.959755","84.711823","0.156675"
Data,11/6/2023,16:22:08;816,"129.560211","3341.000000","98.636703","84.711823","0.156675"
Data,11/6/2023,16:22:08;826,"131.011612","3350.000000","99.282555","84.711823","0.156675"
Data,11/6/2023,16:22:08;836,"132.198761","3360.000000","99.937851","84.711823","0.156675"
Data,11/6/2023,16:22:08;846,"133.517136","3370.000000","100.563049","84.711823","0.156675"
Data,11/6/2023,16:22:08;856,"134.834229","3380.000000","101.197388","84.711823","0.156675"
Data,11/6/2023,16:22:08;866,"136.149628","3391.000000","101.802589","84.711823","0.156675"
Data,11/6/2023,16:22:08;876,"137.594025","3400.000000","102.453217","84.712982","0.156677"
Data,11/6/2023,16:22:08;886,"138.773376","3410.000000","103.082588","84.712982","0.156677"
Data,11/6/2023,16:22:08;896,"140.080795","3420.000000","103.721153","84.712982","0.156677"
Data,11/6/2023,16:22:08;906,"141.384659","3430.000000","104.330406","84.712982","0.156677"
Data,11/6/2023,16:22:08;916,"142.684448","3441.000000","104.948563","84.712982","0.156677"
Data,11/6/2023,16:22:08;926,"144.108994","3450.000000","105.538315","84.712982","0.156677"
Data,11/6/2023,16:22:08;936,"145.270081","3460.000000","106.136696","84.712982","0.156677"
Data,11/6/2023,16:22:08;946,"146.554962","3470.000000","106.707581","84.712982","0.156677"
Data,11/6/2023,16:22:08;956,"147.834015","3480.000000","107.471252","84.712982","0.156677"
Data,11/6/2023,16:22:08;966,"149.106689","3491.000000","108.243362","84.712982","0.156677"
Data,11/6/2023,16:22:08;976,"150.498764","3500.000000","109.026764","84.713074","0.158086"
Data,11/6/2023,16:22:08;986,"151.631241","3510.000000","109.774170","84.713074","0.158086"
Data,11/6/2023,16:22:08;996,"152.882202","3520.000000","110.532547","84.713074","0.158086"
Data,11/6/2023,16:22:09;006,"154.125031","3530.000000","111.256073","84.713074","0.158086"
Data,11/6/2023,16:22:09;016,"155.359314","3541.000000","111.990166","84.713074","0.158086"
Data,11/6/2023,16:22:09;026,"156.706589","3550.000000","112.690544","84.713074","0.158086"
Data,11/6/2023,16:22:09;036,"157.800369","3560.000000","113.481918","84.713074","0.158086"
Data,11/6/2023,16:22:09;046,"159.006332","3570.000000","114.255997","84.713074","0.158086"
Data,11/6/2023,16:22:09;056,"160.201950","3580.000000","115.041397","84.713074","0.158086"
